date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:20:13	12036/12036	---M-Z	200	added ('OK')	application/javascript	etag:W/%222f04-Hu5g/Uf/2vVT6ffvtwqdpzgYBkw%22	https://cdn.jsdelivr.net/npm/gasparesganga-jquery-loading-overlay@2.1.7/dist/loadingoverlay.min.js	C:/Users/Tech/Documents/aaa/cdn.jsdelivr.net/npm/gasparesganga-jquery-loading-overlay@2.1.7/dist/loadingoverlay.min.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:13	8161/8161	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:53:18%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/plugins/algo-video/js/algo-video.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/plugins/algo-video/js/algo-video.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:14	77/77	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:53:18%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/plugins/algo-video/js/init.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/plugins/algo-video/js/init.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:14	20911/20911	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:51:16%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/97eed3ced4be1fa04f3fd168c52bf47b/yii.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/97eed3ced4be1fa04f3fd168c52bf47b/yii.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:14	16101/16101	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:51:16%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/97eed3ced4be1fa04f3fd168c52bf47b/yii.validation.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/97eed3ced4be1fa04f3fd168c52bf47b/yii.validation.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:15	35498/35498	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:51:16%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/97eed3ced4be1fa04f3fd168c52bf47b/yii.activeForm.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/97eed3ced4be1fa04f3fd168c52bf47b/yii.activeForm.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:15	222911/222911	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:51:26%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/f59e35d86ef2fd72e98101ed2ba28a11/js/bootstrap.bundle.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/f59e35d86ef2fd72e98101ed2ba28a11/js/bootstrap.bundle.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:16	1260/1260	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:51:22%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/js/swal_error.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/js/swal_error.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:17	2104/2104	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:51:22%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/js/stepSubmit.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/js/stepSubmit.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:17	1115/1115	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202020%2008:51:22%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/js/generic.js	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/assets/6c2a438299081541407dccddec11fb62/js/generic.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
